Time_ms,Force_kg
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,0.0000
0,-0.0654
2,-0.0811
15,-0.0792
28,-0.0886
40,-0.0809
53,-0.0762
66,-0.0549
79,-0.0809
92,-0.0606
105,-0.0333
118,-0.0532
131,-0.0755
143,-0.1062
156,-0.0657
169,-0.0701
182,-0.0627
195,-0.0682
208,-0.0491
221,-0.0400
234,-0.0477
246,-0.0603
259,-0.0855
272,-0.0648
285,-0.0632
298,-0.0736
311,-0.0886
324,-0.0588
337,-0.0591
349,-0.0832
362,-0.0900
375,-0.0852
388,-0.0797
401,-0.0832
414,-0.0783
427,-0.0711
440,-0.0811
452,-0.0613
465,-0.0604
478,-0.0769
491,-0.0838
504,-0.0933
517,-0.0768
530,-0.0834
543,-0.1010
555,-0.1000
568,-0.0934
581,-0.0810
594,-0.0605
607,-0.0691
620,-0.0820
633,-0.0876
646,-0.0807
659,-0.0696
671,-0.0516
684,-0.0368
697,-0.0439
710,-0.0645
723,-0.0892
736,-0.0941
749,-0.1054
762,-0.0962
774,-0.0562
787,-0.0883
800,-0.0941
813,-0.0890
826,-0.0722
839,-0.0774
852,-0.0957
865,-0.0854
877,-0.0884
890,-0.0517
903,-0.0533
916,-0.0938
929,-0.1002
942,-0.0967
955,-0.1013
968,-0.0876
980,-0.0704
993,-0.0663
1006,-0.0568
1019,-0.0783
1032,-0.0811
1045,-0.0976
1058,-0.0974
1071,-0.0967
1083,-0.0806
1096,-0.0687
1109,-0.0663
1122,-0.1029
1135,-0.0764
1148,-0.0768
1161,-0.0834
1174,-0.0886
1187,-0.0945
1199,-0.0735
1212,-0.0768
1225,-0.0553
1238,-0.0613
1251,-0.0678
1264,-0.0520
1277,-0.0814
1290,-0.1177
1302,-0.0797
1315,-0.0986
1328,-0.0940
1341,-0.0879
1354,-0.0847
1367,-0.0792
1380,-0.0823
1393,-0.0827
1405,-0.0713
1418,-0.0872
1431,-0.0972
1444,-0.0871
1457,-0.0832
1470,-0.0699
1483,-0.0735
1496,-0.0862
1508,-0.0774
1521,-0.0747
1534,-0.0902
1547,-0.0762
1560,-0.0886
1573,-0.0972
1586,-0.0706
1599,-0.0595
1611,-0.0651
1624,-0.0866
1637,-0.0768
1650,-0.0930
1663,-0.0995
1676,-0.0655
1689,-0.0709
1702,-0.0769
1714,-0.0692
1727,-0.0536
1740,-0.0818
1753,-0.0847
1766,-0.0597
1779,-0.0649
1792,-0.0787
1805,-0.0868
1817,-0.0709
1830,-0.0656
1843,-0.0596
1856,-0.0522
1869,-0.0768
1882,-0.0771
1895,-0.0324
1908,-0.0456
1920,-0.0418
1933,-0.0633
1946,-0.0702
1959,-0.0558
1972,-0.0709
1985,-0.0658
1998,-0.0489
2011,-0.0281
2023,-0.0171
2036,-0.0369
2049,-0.0192
2062,-0.0137
2075,-0.0306
2088,-0.0693
2101,-0.0482
2114,-0.0030
2126,0.0090
2139,0.0200
2152,-0.0131
2165,-0.0183
2178,0.0068
2191,0.0312
2204,0.0485
2217,0.0328
2229,0.0386
2242,0.0338
2255,0.0436
2268,0.0468
2281,0.0276
2294,0.0245
2307,0.0486
2320,0.0726
2332,0.0732
2345,0.0810
2358,0.0905
2371,0.0957
2384,0.1181
2397,0.1335
2410,0.1359
2423,0.1453
2435,0.1313
2448,0.1732
2461,0.2037
2474,0.1533
2487,0.1030
2500,0.2112
2513,0.2515
2525,0.2986
2538,0.3280
2551,0.3897
2564,0.3665
2577,0.3548
2590,0.4633
2603,0.5227
2616,0.5630
2628,0.6084
2641,0.6445
2654,0.6755
2667,0.7529
2680,0.8244
2693,0.9091
2706,0.9218
2719,0.9513
2731,1.0404
2744,1.1180
2757,1.1827
2770,1.2437
2783,1.2796
2796,1.3663
2809,1.4735
2822,1.5409
2834,1.6536
2847,1.7433
2860,1.9070
2873,2.0766
2886,2.2238
2899,2.4502
2912,2.5848
2925,2.4984
2937,2.5504
2950,2.7069
2963,2.9139
2976,3.0817
2989,3.3257
3002,3.7078
3015,4.1918
3028,4.7879
3040,5.4342
3053,6.0705
3066,6.6346
3079,7.3087
3092,8.0343
3105,8.7569
3118,9.3058
3131,10.0109
3143,10.9765
3156,11.7071
3169,12.4288
3182,13.1698
3195,14.1058
3208,15.1052
3221,16.0378
3234,17.3568
3246,18.2985
3259,19.4732
3272,20.5538
3285,21.7661
3298,22.8528
3311,23.6602
3324,25.0139
3337,25.5410
3349,26.1841
3362,26.9638
3375,27.2325
3388,27.7908
3401,28.4092
3414,28.7280
3427,29.0949
3440,29.4906
3452,29.6768
3465,30.1478
3478,30.4040
3491,30.2524
3504,30.4648
3517,30.5456
3530,30.6370
3543,31.0318
3555,31.3796
3568,31.3957
3581,31.5120
3594,31.5346
3607,31.6677
3620,32.0072
3633,32.3473
3646,32.4550
3658,32.5502
3671,32.6554
3684,32.6260
3697,32.4664
3710,32.7096
3723,32.8146
3736,33.1576
3749,33.2043
3761,33.1949
3774,33.6057
3787,33.9125
3800,34.2553
3813,34.3041
3826,34.0450
3839,34.1325
3852,34.8789
3864,35.1213
3877,34.9624
3890,34.8107
3903,34.6859
3916,35.3121
3929,35.9471
3942,36.1127
3955,36.2879
3967,36.0458
3980,36.0017
3993,36.2154
4006,36.1964
4019,37.0804
4032,37.2573
4045,36.9638
4058,37.1354
4070,37.1991
4083,37.4769
4096,37.4158
4109,37.5783
4122,38.0139
4135,37.9751
4148,38.0689
4161,38.4075
4173,38.4930
4186,38.4795
4199,38.2942
4212,38.3769
4225,38.6577
4238,38.8069
4251,38.2892
4264,37.9913
4276,38.1606
4289,38.6001
4302,38.9271
4315,38.1436
4328,38.0211
4341,37.8786
4354,37.9368
4367,38.2906
4379,38.1223
4392,37.7464
4405,37.1973
4418,37.0556
4431,37.5932
4444,37.4747
4457,37.1494
4470,36.7062
4482,36.4012
4495,36.6745
4508,36.7683
4521,36.0164
4534,35.6379
4547,35.4301
4560,34.8440
4573,34.4554
4585,34.7227
4598,34.7317
4611,34.3948
4624,33.8837
4637,33.4699
4650,32.8508
4663,32.3417
4676,32.4975
4688,32.3616
4701,31.8206
4714,31.9323
4727,31.4802
4740,30.8642
4753,30.5113
4766,30.0980
4779,30.0002
4791,29.9943
4804,29.3659
4817,29.3145
4830,29.2807
4843,28.7143
4856,28.2041
4869,27.9564
4882,27.8443
4894,27.4978
4907,27.2687
4920,26.8101
4933,26.4013
4946,26.3802
4959,26.4111
4972,25.8319
4985,25.6727
4997,25.8456
5010,25.5476
5023,25.0857
5036,24.7463
5049,24.6646
5062,24.4925
5075,24.0906
5088,23.8835
5100,23.4482
5113,22.9886
5126,22.5931
5139,22.4646
5152,22.4194
5165,22.2765
5178,22.0100
5191,21.7293
5203,21.5613
5216,21.3666
5229,20.9612
5242,20.8464
5255,20.9887
5268,20.8142
5281,20.3393
5294,19.8617
5306,19.7439
5319,19.6340
5332,19.2768
5345,18.9569
5358,18.7633
5371,18.5840
5384,18.4675
5397,18.2784
5409,17.9434
5422,17.5345
5435,17.1452
5448,16.9021
5461,16.8109
5474,16.5654
5487,16.5257
5500,16.4009
5513,15.9968
5525,15.6301
5538,15.4349
5551,15.2876
5564,15.1328
5577,14.9002
5590,14.6210
5603,14.4222
5616,14.2562
5628,14.0798
5641,13.9115
5654,13.6069
5667,13.3817
5680,13.1350
5693,12.8755
5706,12.7716
5719,12.6829
5731,12.4931
5744,12.3651
5757,12.1605
5770,11.8073
5783,11.5751
5796,11.4659
5809,11.4725
5821,11.4672
5834,11.4548
5847,11.2235
5860,10.9269
5873,10.6926
5886,10.5369
5899,10.3422
5912,10.1273
5925,9.9583
5937,9.7404
5950,9.6267
5963,9.4765
5976,9.4560
5989,9.4257
6002,9.2954
6015,9.1302
6028,8.9457
6040,8.9158
6053,8.8462
6066,8.6660
6079,8.5111
6092,8.3285
6105,8.2398
6118,8.1628
6131,8.1229
6143,8.0154
6156,7.9348
6169,7.8241
6182,7.6647
6195,7.5249
6208,7.4312
6221,7.3744
6234,7.2729
6246,7.1540
6259,7.0269
6272,6.7984
6285,6.6664
6298,6.6088
6311,6.5718
6324,6.4149
6337,6.2434
6349,6.1243
6362,5.9281
6375,5.8282
6388,5.7414
6401,5.6328
6414,5.5584
6427,5.5412
6440,5.4534
6452,5.3002
6465,5.2344
6478,5.1329
6491,5.0423
6504,5.0270
6517,4.9669
6530,4.8901
6543,4.7808
6555,4.6657
6568,4.6713
6581,4.6303
6594,4.5386
6607,4.3613
6620,4.2324
6633,4.1940
6646,4.1463
6658,4.0531
6671,3.9617
6684,3.8360
6697,3.7569
6710,3.6780
6723,3.6165
6736,3.5787
6749,3.5311
6761,3.4642
6774,3.3795
6787,3.3015
6800,3.2129
6813,3.1415
6826,3.0594
6839,3.0088
6852,2.8846
6864,2.8444
6877,2.7988
6890,2.7113
6903,2.6472
6916,2.5367
6929,2.4196
6942,2.2885
6955,2.2066
6967,2.1295
6980,2.0678
6993,2.0572
7006,2.0023
7019,1.9077
7032,1.8427
7045,1.7462
7058,1.7036
7070,1.6734
7083,1.5739
7096,1.5040
7109,1.4629
7122,1.3443
7135,1.2487
7148,1.1947
7161,1.1488
7173,1.1026
7186,0.9940
7199,0.9054
7212,0.8826
7225,0.8542
7238,0.8178
7251,0.7629
7264,0.7125
7276,0.7053
7289,0.6794
7302,0.6220
7315,0.5561
7328,0.5334
7341,0.5203
7354,0.4724
7367,0.4048
7379,0.3665
7392,0.3040
7405,0.2565
7418,0.2254
7431,0.1715
7444,0.1521
7457,0.1089
7470,0.0443
7483,0.0191
7495,-0.0035
7508,-0.0102
7521,-0.0371
7534,-0.0671
7547,-0.0517
7560,-0.0713
7573,-0.1158
7586,-0.1419
7598,-0.1528
7611,-0.1342
7624,-0.1776
7637,-0.1952
7650,-0.2483
7663,-0.2698
7676,-0.2535
7689,-0.2341
7701,-0.2486
7714,-0.2986
7727,-0.3100
7740,-0.3274
7753,-0.3500
7766,-0.3326
7779,-0.3135
7792,-0.3316
7804,-0.3798
7817,-0.3754
7830,-0.3788
7843,-0.3754
7856,-0.3734
7869,-0.3770
7882,-0.3739
7895,-0.4294
7907,-0.4743
7920,-0.4573
7933,-0.4841
7946,-0.4418
7959,-0.4325
7972,-0.4519
7985,-0.4549
7998,-0.4762
8010,-0.4826
8023,-0.4908
8036,-0.5101
8049,-0.5112
8062,-0.5159
8075,-0.5142
8088,-0.5308
8101,-0.5453
8113,-0.5434
8126,-0.5183
8139,-0.5343
8152,-0.5362
8165,-0.5398
8178,-0.5448
8191,-0.5621
8204,-0.5562
8216,-0.5443
8229,-0.5786
8242,-0.5941
8255,-0.5877
8268,-0.5712
8281,-0.5911
8294,-0.6188
8307,-0.6189
8319,-0.6041
8332,-0.6421
8345,-0.7487
8358,-0.7168
8371,-0.6519
8384,-0.6151
8397,-0.6334
8410,-0.6274
8422,-0.6059
8435,-0.6337
8448,-0.6297
8461,-0.6670
8474,-0.6373
8487,-0.6203
8500,-0.6433
8513,-0.6751
8525,-0.7043
8538,-0.7031
8551,-0.6993
8564,-0.6391
8577,-0.6517
8590,-0.6710
8603,-0.6608
8616,-0.6654
8628,-0.6688
8641,-0.6574
8654,-0.6453
8667,-0.6495
8680,-0.6664
8693,-0.6517
8706,-0.6622
8719,-0.6787
8731,-0.6732
8744,-0.6620
8757,-0.6667
8770,-0.6753
8783,-0.6783
8796,-0.6881
8809,-0.7002
8822,-0.7086
8835,-0.7033
8847,-0.6988
8860,-0.6983
8873,-0.7054
8886,-0.6988
8899,-0.6959
8912,-0.7017
8925,-0.6801
8938,-0.6818
8950,-0.6904
8963,-0.7023
8976,-0.7179
8989,-0.7200
9002,-0.7006
9015,-0.6992
9028,-0.6858
9041,-0.7071
9053,-0.7017
9066,-0.6913
9079,-0.7091
9092,-0.7042
9105,-0.7133
9118,-0.7176
9131,-0.7305
9144,-0.7164
9156,-0.7144
9169,-0.7348
9182,-0.7185
9195,-0.7243
9208,-0.7339
9221,-0.7164
9234,-0.7227
9247,-0.7089
9259,-0.7095
9272,-0.7279
9285,-0.7315
9298,-0.7291
9311,-0.7452
9324,-0.7355
9337,-0.7242
9350,-0.7265
9362,-0.7425
9375,-0.7599
9388,-0.7537
9401,-0.7501
9414,-0.7482
9427,-0.7156
9440,-0.7607
9453,-0.8085
9465,-0.7527
9478,-0.7487
9491,-0.7813
9504,-0.8279
9517,-0.7724
9530,-0.7655
9543,-0.7498
9556,-0.7461
9568,-0.7625
9581,-0.7616
9594,-0.7470
9607,-0.7513
9620,-0.7454
9633,-0.7687
9646,-0.7868
9659,-0.7606
9671,-0.7513
9684,-0.7544
9697,-0.7494
9710,-0.7516
9723,-0.7642
9736,-0.7671
9749,-0.7564
9762,-0.7532
9774,-0.7440
9787,-0.7447
9800,-0.7509
9813,-0.7896
9826,-0.7905
9839,-0.7713
9852,-0.7718
9865,-0.7788
9877,-0.7724
9890,-0.7593
9903,-0.7621
9916,-0.7564
9929,-0.7630
9942,-0.7687
9955,-0.7944
9968,-0.7853
9980,-0.7707
9993,-0.7847
10006,-0.7798
10019,-0.7715
10032,-0.7817
10045,-0.8162
10058,-0.7956
10071,-0.7843
10083,-0.7837
10096,-0.7729
10109,-0.7630
10122,-0.7625
10135,-0.7686
10148,-0.7614
10161,-0.7504
10174,-0.7948
10186,-0.7987
10199,-0.7693
10212,-0.7647
10225,-0.7649
10238,-0.7565
10251,-0.7639
10264,-0.7458
10277,-0.7538
10289,-0.7667
10302,-0.7757
10315,-0.7866
10328,-0.7839
10341,-0.8037
10354,-0.7867
10367,-0.7673
10380,-0.7863
10392,-0.7944
10405,-0.8051
10418,-0.8099
10431,-0.8096
10444,-0.7963
10457,-0.7745
10470,-0.7794
10483,-0.7929
10495,-0.7989
10508,-0.7903
10521,-0.7820
10534,-0.7738
10547,-0.7821
10560,-0.7685
10573,-0.7765
10586,-0.7712
10599,-0.7614
10611,-0.7709
10624,-0.7537
10637,-0.7621
10650,-0.7832
10663,-0.7893
10676,-0.7687
10689,-0.7622
10702,-0.7706
10714,-0.7954
10727,-0.7799
10740,-0.7853
10753,-0.7862
10766,-0.7737
10779,-0.7865
10792,-0.7827
10805,-0.7832
10817,-0.7757
10830,-0.7669
10843,-0.7669
10856,-0.8005
10869,-0.7905
10882,-0.7729
10895,-0.7751
10908,-0.8018
10920,-0.8020
10933,-0.7926
10946,-0.7894
10959,-0.7788
10972,-0.7928
10985,-0.7749
10998,-0.7769
11011,-0.7955
11023,-0.7967
11036,-0.7806
11049,-0.7714
11062,-0.7888
11075,-0.7962
11088,-0.7775
11101,-0.7700
11114,-0.7848
11126,-0.7862
11139,-0.7879
11152,-0.8053
11165,-0.7729
11178,-0.7715
11191,-0.7680
11204,-0.7717
11217,-0.7781
11229,-0.7888
11242,-0.7891
11255,-0.7706
11268,-0.7623
11281,-0.7730
11294,-0.7779
11307,-0.7849
11320,-0.8058
11332,-0.8061
11345,-0.8106
11358,-0.8408
11371,-0.8204
11384,-0.8202
11397,-0.8246
11410,-0.8351
11423,-0.8350
11435,-0.8092
11448,-0.8202
11461,-0.8237
11474,-0.8160
11487,-0.8375
11500,-0.8672
11513,-0.8586
11526,-0.8402
11539,-0.8281
11551,-0.8132
11564,-0.8170
11577,-0.8247
11590,-0.8247
11603,-0.8237
11616,-0.8012
11629,-0.8385
11642,-0.8484
11654,-0.8387
11667,-0.8274
11680,-0.8385
11693,-0.8353
11706,-0.8168
11719,-0.8230
11732,-0.8149
11745,-0.8274
11757,-0.8431
11770,-0.8286
11783,-0.8129
11796,-0.8137
11809,-0.8082
11822,-0.8285
11835,-0.8333
11848,-0.8126
11860,-0.8159
11873,-0.7978
11886,-0.8087
11899,-0.8151
11912,-0.8200
11925,-0.8293
11938,-0.8303
11951,-0.8171
11963,-0.8161
11976,-0.8334
11989,-0.8079
12002,-0.7978
12015,-0.8175
12028,-0.8057
12041,-0.8311
12054,-0.8280
12066,-0.8042
12079,-0.7886
12092,-0.8059
12105,-0.8198
12118,-0.8091
12131,-0.8173
12144,-0.8129
12157,-0.8326
12170,-0.8283
12182,-0.7998
12195,-0.8175
12208,-0.8120
12221,-0.8086
12234,-0.8328
12247,-0.8186
12260,-0.8246
12273,-0.8291
12285,-0.8049
12298,-0.8022
12311,-0.8098
12324,-0.8082
12337,-0.8164
12350,-0.8037
12363,-0.8049
12376,-0.8010
12388,-0.8045
12401,-0.8056
12414,-0.8307
12427,-0.8233
12440,-0.8351
12453,-0.8515
12466,-0.8345
12478,-0.8156
12491,-0.8160
12504,-0.8106
12517,-0.8267
12530,-0.8433
12543,-0.8420
12556,-0.8202
12569,-0.8082
12581,-0.8090
12594,-0.8113
12607,-0.7972
12620,-0.8122
12633,-0.8115
12646,-0.8073
12659,-0.8151
12672,-0.8156
12684,-0.8232
12697,-0.8342
12710,-0.8548
12723,-0.8311
12736,-0.8103
12749,-0.7898
12762,-0.7992
12775,-0.8056
12787,-0.8293
12800,-0.8093
12813,-0.8017
12826,-0.8100
12839,-0.7952
12852,-0.7898
12865,-0.8128
12878,-0.8056
12890,-0.8312
12903,-0.8147
12916,-0.7881
12929,-0.8081
12942,-0.7936
12955,-0.8120
12968,-0.8031
12981,-0.8024
12993,-0.7924
13006,-0.7880
13019,-0.7962
13032,-0.8026
13045,-0.8460
13058,-0.8005
13071,-0.8218
13084,-0.8333
13096,-0.8124
13109,-0.7897
13122,-0.7803
13135,-0.7949
13148,-0.8080
13161,-0.8218
13174,-0.8292
13187,-0.7970
13199,-0.7783
13212,-0.7930
13225,-0.7965
13238,-0.7999
13251,-0.8058
13264,-0.7938
13277,-0.7958
13290,-0.8040
13302,-0.8203
13315,-0.8146
13328,-0.8110
13341,-0.8139
13354,-0.7991
13367,-0.7987
13380,-0.8003
13393,-0.8090
13405,-0.8100
13418,-0.8086
13431,-0.8001
13444,-0.8038
13457,-0.8166
13470,-0.8120
13483,-0.8081
13496,-0.8217
13508,-0.8247
13521,-0.8202
13534,-0.8315
13547,-0.8219
13560,-0.8144
13573,-0.8369
13586,-0.8268
13599,-0.8223
13611,-0.8206
13624,-0.8499
13637,-0.8489
13650,-0.8285
13663,-0.8135
13676,-0.8250
13689,-0.8299
13702,-0.8253
13714,-0.8321
13727,-0.8575
13740,-0.8402
13753,-0.8278
13766,-0.8480
13779,-0.8600
13792,-0.8302
13805,-0.8393
13817,-0.8142
13830,-0.8333
13843,-0.8663
13856,-0.8509
13869,-0.8841
13882,-0.9002
13895,-0.8510
13908,-0.8235
13920,-0.8070
13933,-0.8298
13946,-0.8307
13959,-0.8156
13972,-0.8228
13985,-0.8144
13998,-0.8213
14011,-0.8223
14023,-0.8597
14036,-0.8771
14049,-0.8502
14062,-0.8412
14075,-0.8295
14088,-0.8450
14101,-0.8406
14114,-0.8263
14126,-0.8322
14139,-0.8212
14152,-0.8340
14165,-0.8823
14178,-0.8698
14191,-0.8350
14204,-0.8118
14217,-0.8221
14229,-0.8430
14242,-0.8861
14255,-0.8575
14268,-0.8496
14281,-0.8595
14294,-0.8650
14307,-0.8305
14320,-0.8119
14332,-0.8140
14345,-0.8159
14358,-0.8061
14371,-0.8160
14384,-0.8230
14397,-0.8119
14410,-0.8204
14423,-0.8324
14435,-0.8297
14448,-0.8187
14461,-0.8318
14474,-0.8305
14487,-0.8489
14500,-0.8207
14513,-0.8048
14526,-0.8274
14538,-0.8489
14551,-0.8357
14564,-0.8313
14577,-0.8410
14590,-0.8283
14603,-0.8199
14616,-0.8430
14629,-0.8774
14641,-0.8518
14654,-0.8444
14667,-0.8211
14680,-0.8230
14693,-0.8422
14706,-0.8572
14719,-0.8256
14732,-0.8245
14744,-0.8350
14757,-0.8344
14770,-0.8369
14783,-0.8324
14796,-0.8265
14809,-0.8429
14822,-0.8436
14835,-0.8146
14847,-0.8149
14860,-0.8099
14873,-0.8163
14886,-0.8151
14899,-0.8219
14912,-0.8333
14925,-0.8372
14938,-0.8293
14950,-0.8155
14963,-0.8376
14976,-0.8036
14989,-0.8154
15002,-0.8118
15015,-0.8160
15028,-0.8407
15041,-0.8387
15053,-0.8230
15066,-0.8150
15079,-0.8144
15092,-0.8132
15105,-0.8053
15118,-0.8118
15131,-0.8222
15144,-0.8140
15156,-0.8114
15169,-0.8167
15182,-0.8184
15195,-0.8075
15208,-0.8103
15221,-0.7951
15234,-0.7898
15247,-0.7993
15259,-0.8020
15272,-0.8041
15285,-0.7883
15298,-0.8398
15311,-0.8684
15324,-0.8061
15337,-0.7899
15350,-0.7970
15362,-0.8162
15375,-0.8113
15388,-0.8186
15401,-0.8232
15414,-0.8074
15427,-0.8214
15440,-0.8283
15453,-0.8268
15465,-0.8199
15478,-0.8065
15491,-0.8049
15504,-0.8219
15517,-0.8211
15530,-0.8335
15543,-0.8172
15556,-0.8257
15568,-0.8459
15581,-0.8386
15594,-0.8450
15607,-0.8569
15620,-0.8271
15633,-0.8181
15646,-0.8295
15659,-0.8241
15672,-0.8305
15684,-0.8505
15697,-0.8750
15710,-0.8618
15723,-0.8502
15736,-0.8405
15749,-0.8252
15762,-0.8247
15775,-0.8319
15787,-0.8396
15800,-0.8493
15813,-0.8479
15826,-0.8673
15839,-0.8653
15852,-0.8812
15865,-0.8616
15878,-0.8296
15890,-0.8274
15903,-0.8477
15916,-0.8303
15929,-0.8060
15942,-0.8283
15955,-0.8413
15968,-0.8417
15981,-0.8442
15994,-0.8348
16006,-0.8341
16019,-0.8347
16032,-0.8407
16045,-0.8385
16058,-0.8180
16071,-0.8269
16084,-0.8439
16097,-0.8463
16109,-0.8388
16122,-0.8180
16135,-0.8474
16148,-0.8593
16161,-0.8359
16174,-0.8355
16187,-0.8450
16200,-0.8408
16212,-0.8596
16225,-0.8576
16238,-0.8247
16251,-0.8271
16264,-0.8433
16277,-0.8503
16290,-0.8475
16303,-0.8388
16315,-0.8193
16328,-0.8227
16341,-0.8368
16354,-0.8467
16367,-0.8377
16380,-0.8286
16393,-0.8371
16406,-0.8383
16418,-0.8278
16431,-0.8206
16444,-0.8277
16457,-0.8285
16470,-0.8237
16483,-0.8154
16496,-0.8356
16509,-0.8326
16521,-0.8355
16534,-0.8223
16547,-0.8309
16560,-0.8483
16573,-0.8206
16586,-0.8225
16599,-0.8175
16612,-0.8287
16624,-0.8333
16637,-0.8521
16650,-0.8478
16663,-0.8215
16676,-0.8173
16689,-0.8292
16702,-0.8473
16715,-0.8650
16727,-0.8417
16740,-0.8337
16753,-0.8122
16766,-0.8302
16779,-0.8336
16792,-0.8082
16805,-0.8214
16818,-0.8459
16830,-0.8695
16843,-0.8651
16856,-0.8437
16869,-0.8429
16882,-0.8217
16895,-0.8284
16908,-0.8245
16921,-0.8534
16934,-0.8546
16946,-0.8144
16959,-0.8104
16972,-0.8457
16985,-0.8168
16998,-0.8122
17011,-0.8182
17024,-0.7936
17037,-0.8205
17049,-0.8354
17062,-0.8928
17075,-0.8450
17088,-0.8167
17101,-0.8279
17114,-0.8374
17127,-0.8375
17140,-0.8493
17152,-0.8370
17165,-0.8214
17178,-0.7917
17191,-0.7970
17204,-0.8139
17217,-0.8211
17230,-0.8279
17243,-0.8376
17255,-0.8317
17268,-0.8125
17281,-0.8289
17294,-0.8392
17307,-0.8233
17320,-0.7803
17333,-0.7910
17346,-0.8333
17358,-0.8460
17371,-0.8183
17384,-0.8022
17397,-0.8097
17410,-0.8266
17423,-0.8249
17436,-0.8215
17449,-0.8173
17461,-0.8077
17474,-0.8308
17487,-0.8286
